year,iso_code,country,economic_freedom,rank,quartile,gdp_growth
2013,ALB,Albania,7.27,53.0,2.0,"1,300052716"
2013,DZA,Algeria,5.04,150.0,4.0,"2,699929229"
2013,AGO,Angola,5.25,148.0,4.0,"4,059427491"
2013,ARG,Argentina,4.88,153.0,4.0,"2,951206793"
2013,ARM,Armenia,7.69,17.0,1.0,"3,5"
2013,AUS,Australia,7.92,9.0,1.0,"2,660168996"
2013,AUT,Austria,7.63,25.0,1.0,"0,318839075"
2013,AZE,Azerbaijan,6.2,123.0,4.0,"5,79667853"
2013,BHS,Bahamas,7.33,48.0,2.0,
2013,BHR,Bahrain,7.33,48.0,2.0,"5,49"
2013,BGD,Bangladesh,6.37,113.0,3.0,"6,030242521"
2013,BLR,Belarus,,,,"0,894547993"
2013,BEL,Belgium,7.37,42.0,2.0,"0,196622433"
2013,BLZ,Belize,7.03,72.0,2.0,"0,68833652"
2013,BEN,Benin,6.44,108.0,3.0,"5,600002481"
2013,BTN,Bhutan,6.93,80.0,3.0,"4,981880758"
2013,BOL,Bolivia,6.4,110.0,3.0,"6,775601009"
2013,BIH,Bosnia and Herzegovina,6.61,100.0,3.0,"0,364933545"
2013,BWA,Botswana,7.27,53.0,2.0,"5,897276144"
2013,BRA,Brazil,6.05,127.0,4.0,"2,492011803"
2013,BRN,Brunei Darussalam,6.75,89.0,3.0,"-1,751960547"
2013,BGR,Bulgaria,7.33,48.0,2.0,"0,898654169"
2013,BFA,Burkina Faso,5.96,131.0,4.0,"6,529291389"
2013,BDI,Burundi,5.96,131.0,4.0,"4,470824619"
2013,KHM,Cambodia,7.17,63.0,2.0,"7,459669528"
2013,CMR,Cameroon,5.95,133.0,4.0,"5,5"
2013,CAN,Canada,8.03,7.0,1.0,"2,022016672"
2013,CPV,Cape Verde,6.62,98.0,3.0,"0,499402175"
2013,CAF,Central Afr. Rep.,5.71,139.0,4.0,"-35,99996656"
2013,TCD,Chad,4.99,152.0,4.0,"3,599991079"
2013,CHL,Chile,7.88,10.0,1.0,"4,074713728"
2013,CHN,China,6.39,111.0,3.0,"7,671191"
2013,COL,Colombia,6.67,94.0,3.0,"4,257140005"
2013,COD,"Congo, Dem. R.",5.36,145.0,4.0,"8,480836675"
2013,COG,"Congo, Rep. Of",4.55,155.0,4.0,"3,440705249"
2013,CRI,Costa Rica,7.48,35.0,1.0,"3,497287451"
2013,CIV,Cote d'Ivoire,5.9,136.0,4.0,"8,699"
2013,HRV,Croatia,6.9,81.0,3.0,-1
2013,CYP,Cyprus,7.07,70.0,2.0,"-5,4"
2013,CZE,Czech Rep.,7.37,42.0,2.0,"-0,934134169"
2013,DNK,Denmark,7.68,18.0,1.0,"0,417078759"
2013,DOM,Dominican Rep.,7.24,57.0,2.0,"4,064492974"
2013,ECU,Ecuador,5.88,137.0,4.0,4
2013,EGY,Egypt,6.01,130.0,4.0,"2,097945861"
2013,SLV,El Salvador,7.2,60.0,2.0,"1,675888994"
2013,EST,Estonia,7.7,15.0,1.0,"0,830646297"
2013,ETH,Ethiopia,5.53,143.0,4.0,"10,36242758"
2013,FJI,Fiji,6.44,108.0,3.0,"2,735106782"
2013,FIN,Finland,7.7,15.0,1.0,"-1,379474373"
2013,FRA,France,7.23,59.0,2.0,"0,213808557"
2013,GAB,Gabon,5.42,144.0,4.0,"5,887"
2013,GMB,"Gambia, The",7.32,51.0,2.0,"5,647144549"
2013,GEO,Georgia,7.87,11.0,1.0,"3,176421579"
2013,DEU,Germany,7.66,21.0,1.0,"0,431965443"
2013,GHA,Ghana,6.55,104.0,3.0,"7,131793165"
2013,GRC,Greece,6.88,82.0,3.0,"-3,855112059"
2013,GTM,Guatemala,7.66,21.0,1.0,"3,69050034"
2013,GIN,Guinea,5.65,141.0,4.0,"2,500005193"
2013,GNB,Guinea-Bissau,5.07,149.0,4.0,"0,255"
2013,GUY,Guyana,6.04,129.0,4.0,"5,328380691"
2013,HTI,Haiti,6.36,116.0,3.0,"4,296522524"
2013,HND,Honduras,7.13,65.0,2.0,"2,563736624"
2013,HKG,Hong Kong,8.96,1.0,1.0,"2,932259369"
2013,HUN,Hungary,7.34,46.0,2.0,"1,099424502"
2013,ISL,Iceland,7.02,73.0,2.0,"3,262919368"
2013,IND,India,6.36,116.0,3.0,"5,016994509"
2013,IDN,Indonesia,7.01,74.0,2.0,"5,781224178"
2013,IRN,Iran,5.04,150.0,4.0,"-5,799999941"
2013,IRQ,Iraq,,,,"3,952469276"
2013,IRL,Ireland,8.04,6.0,1.0,"-0,339608438"
2013,ISR,Israel,7.42,37.0,1.0,"3,31"
2013,ITA,Italy,7.19,61.0,2.0,"-1,854123237"
2013,JAM,Jamaica,7.3,52.0,2.0,"1,274858022"
2013,JPN,Japan,7.54,30.0,1.0,"1,539412401"
2013,JOR,Jordan,7.65,24.0,1.0,"2,828818993"
