year,iso_code,country,economic_freedom,rank,quartile,gdp_growth,1a_government_consumption,1c_gov_enterprises,1d_top_marg_tax_rate,1_size_government,2a_judicial_independence,2b_impartial_courts,2c_protection_property_rights,2d_military_interference,2e_integrity_legal_system,2f_legal_enforcement_contracts,2g_restrictions_sale_real_property,2h_reliability_police,2i_business_costs_crime,2j_gender_adjustment,2_property_rights,3a_money_growth,3b_std_inflation,3c_inflation,3d_freedom_own_foreign_currency,3_sound_money,4a_tariffs,4b_regulatory_trade_barriers,4c_black_market,4d_control_movement_capital_ppl,4_trade,5a_credit_market_reg,5b_labor_market_reg,5c_business_reg,5_regulation
2013,ALB,Albania,7.27,53.0,2.0,"1,300052716",8.173529412,7.0,8.5,7.803358188,2.465461885,3.27152096,2.9559380589999997,8.333333332999999,4.166666667,4.387444055,6.329975526,4.540075638999999,5.57957178,0.9459459459999999,4.5437824760000005,9.665260873,9.486031537,9.61247649,10.0,9.690942225,8.973066667000001,5.952681098999999,10.0,5.897335678999999,7.705770861,6.981637674,6.647075198,6.244828084,6.624513652
2013,DZA,Algeria,5.04,150.0,4.0,"2,699929229",1.294117647,0.0,4.5,3.402811665,4.102089305,3.40035474,4.53773903,5.0,5.0,4.386015533999999,6.626692153,5.121435779,4.981421017,0.810810811,4.341494124,8.915842785,5.4183212439999995,9.349263165,5.0,7.170856799,6.864,5.813669671,5.272007913,1.633012064,4.895672412,6.666666667,4.629484424,4.932421559,5.409524216
2013,AGO,Angola,5.25,148.0,4.0,"4,059427491",3.329411765,0.0,9.5,5.2708294019999995,1.843129164,1.974565724,2.5123641869999997,3.333333333,4.166666667,2.302200397,5.423011165,3.0161039869999997,4.291196631,0.864864865,2.990266391,8.997099396,4.669166812,8.244781813,5.0,6.727762005,8.380088889,3.629262808,10.0,1.7884124259999998,5.949441031,8.731571831,2.634847556,4.575142261,5.313853883
2013,ARG,Argentina,4.88,153.0,4.0,"2,951206793",5.752941176,6.0,4.0,5.171984336,2.1547418169999997,2.10032088,2.705497124,7.5,3.3,4.772538354,6.857195103,2.800509913,3.7253289960000004,0.810810811,3.6131844689999997,6.328051492,9.26249516,4.4,5.0,6.247636663,6.053688889,5.253690393,0.0,4.08445726,3.847959135,6.794012051,4.92616717,4.825747682,5.515308967999999
2013,ARM,Armenia,7.69,17.0,1.0,"3,5",8.223529412000001,10.0,6.0,8.05464227,3.199651233,3.556048928,5.255961891,5.833333333,5.0,5.318215028,9.80196309,4.9902411330000005,7.562823602000001,1.0,5.613137582,9.411389531000001,8.453809182,8.841242417,10.0,9.176610282,8.898444443999999,6.600878429,10.0,6.819263492999999,8.079646592000001,9.463663354,6.3792528939999995,6.774169575,7.539028608
2013,AUS,Australia,7.92,9.0,1.0,"2,660168996",4.5882352939999995,10.0,5.5,6.721666025,8.146540697999999,5.770616262999999,7.512845989,10.0,9.166666667000001,6.163151928,8.205654997,8.424030446,7.4835677810000005,1.0,7.874786085,8.570296931,8.929223182000001,9.510022272,10.0,9.252385596,8.991955556,7.386234596,10.0,3.879926533,7.564529171,9.501404874,7.0242545970000005,8.07915989,8.201606453
2013,AUT,Austria,7.63,25.0,1.0,"0,318839075",3.8529411760000003,10.0,3.5,5.1297690010000006,6.957152751000001,5.801655932,8.073970854,10.0,10.0,6.378971834,8.10049394,8.233350519,8.479242265,1.0,8.002759787999999,9.118603166,9.793608039,9.599968501000001,10.0,9.628044927000001,8.252222222,7.316172187,10.0,5.695093411,7.815871955,9.083051699,6.0861826489999995,7.522659709,7.563964685
2013,AZE,Azerbaijan,6.2,123.0,4.0,"5,79667853",5.529411765,0.0,6.5,5.0335168239999994,3.6008412360000004,4.469793583,4.682007013,5.0,5.833333333,7.252962407999999,9.707871986,5.139397644,7.7871239889999995,0.756756757,5.21886866,8.496706875,4.058225439,9.515239719,5.0,6.767543008,7.977777777999999,5.980095469,10.0,3.70177527,6.914912129,8.0,6.34647655,6.880803346,7.075759965
2013,BHS,Bahamas,7.33,48.0,2.0,,6.5,7.0,10.0,8.10367653,,6.596738383,,10.0,7.5,5.490581382999999,3.716887055,,,0.9459459459999999,6.480818625,9.085912583999999,9.417620481,9.926054122,0.0,7.107396797000001,3.2811555560000003,7.759810552,10.0,5.384615385,6.606395373,8.622733198999999,8.361606213,8.01504523,8.333128214
2013,BHR,Bahrain,7.33,48.0,2.0,"5,49",3.563565113,4.0,10.0,6.786317362999999,5.686038612999999,5.066078642,7.077974195,5.0,7.5,4.785814418,8.855314534,6.728068254,5.818962483,0.5365853660000001,4.824728756,9.870629873,5.613812525,9.362150381000001,10.0,8.711648195,8.548266667,7.376036251,10.0,4.773455863,7.674439695,9.480613884,8.317746574,8.10571376,8.634691406
